Dziobak,	        ,	       ,	        ,	         ,	        ,	Dziobak,	        ,	       ,	        ,	         ,	        ,	Dziobak,	        ,	       ,	        ,	         ,	        ,	
PositionX: , PositionY: , PositionZ: , VelocityX: , VelocityY: , VelocityZ: , PositionX: , PositionY: , PositionZ: , VelocityX: , VelocityY: , VelocityZ: , PositionX: , PositionY: , PositionZ: , VelocityX: , VelocityY: , VelocityZ: , 
444.0 , 317.0 , 458.0 , 6.920415224913496E-7 , 2.000000025363201 , 1.000008 , 46.0 , 478.0 , 213.0 , 3.0000000510365523 , 6.243054601755547E-8 , 2.0000000685871058 , 359.0 , 761.0 , 483.0 , 5.1036552378813706E-8 , 1.000000062430546 , 6.858710562414266E-8 , 
444.0 , 327.0 , 463.0 , 1.3840830449826992E-6 , 2.0000000513074414 , 1.0000205 , 61.0 , 478.0 , 223.0 , 3.0000001073403224 , 1.227121818200246E-7 , 2.000000142551603 , 359.0 , 766.0 , 483.0 , 1.0734032247925963E-7 , 1.000000122712182 , 1.4255160266556276E-7 , 
444.0 , 337.0 , 468.0 , 2.076124567474049E-6 , 2.0000000778529192 , 1.0000427222222221 , 76.0 , 478.0 , 233.0 , 3.0000001697708685 , 1.8095397846296745E-7 , 2.000000222551603 , 359.0 , 771.0 , 483.0 , 1.697708684968151E-7 , 1.0000001809539787 , 2.2255160266556276E-7 , 
444.0 , 347.0 , 473.0 , 2.7681660899653983E-6 , 2.0000001050207787 , 1.0000927222222222 , 91.0 , 478.0 , 243.0 , 3.000000239385482 , 2.3725774856341337E-7 , 2.0000003093571586 , 359.0 , 776.0 , 483.0 , 2.3938548199648095E-7 , 1.0000002372577488 , 3.093571582211183E-7 , 
444.0 , 357.0 , 478.0 , 3.4602076124567477E-6 , 2.0000001328331676 , 1.0002927222222222 , 106.0 , 478.0 , 253.0 , 3.0000003174994974 , 2.917186401971312E-7 , 2.000000403875117 , 359.0 , 781.0 , 483.0 , 3.174994972130911E-7 , 1.0000002917186404 , 4.038751166332166E-7 , 
444.0 , 367.0 , 483.0 , 4.152249134948097E-6 , 2.000000161313297 , Infinity , 121.0 , 478.0 , 263.0 , 3.0000004057700997 , 3.4442567342364495E-7 , 2.000000507180902 , 359.0 , 786.0 , 483.0 , 4.057700995716816E-7 , 1.0000003444256735 , 5.071809017571836E-7 , 
444.0 , 377.0 , 2.147483647E9 , 4.8442906574394464E-6 , 2.0000001904855065 , Infinity , 136.0 , 478.0 , 273.0 , 3.0000005063150534 , 3.954622258024587E-7 , 2.000000620559587 , 359.0 , 791.0 , 483.0 , 5.06315053220458E-7 , 1.0000003954622259 , 6.205595865644399E-7 , 
444.0 , 387.0 , 2.147483647E9 , 5.536332179930796E-6 , 2.0000002203753326 , Infinity , 151.0 , 478.0 , 283.0 , 3.0000006218845803 , 4.4490647246991645E-7 , 2.000000745559587 , 359.0 , 796.0 , 483.0 , 6.218845798476769E-7 , 1.0000004449064726 , 7.455595865644398E-7 , 
444.0 , 397.0 , 2.147483647E9 , 6.228373702422145E-6 , 2.0000002510095842 , Infinity , 166.0 , 478.0 , 293.0 , 3.0000007561163717 , 4.928317856618382E-7 , 2.000000884063742 , 359.0 , 801.0 , 483.0 , 7.561163713051657E-7 , 1.0000004928317858 , 8.840637416890935E-7 , 
444.0 , 407.0 , 2.147483647E9 , 6.9204152249134946E-6 , 2.0000002824164222 , Infinity , 181.0 , 478.0 , 303.0 , 3.0000009139247292 , 5.393070979759369E-7 , 2.0000010383847298 , 359.0 , 806.0 , 483.0 , 9.139247288357805E-7 , 1.000000539307098 , 1.0383847293434145E-6 , 
444.0 , 417.0 , 2.147483647E9 , 7.612456747404844E-6 , 2.000000314625446 , Infinity , 196.0 , 478.0 , 313.0 , 3.0000011021139725 , 5.843972331561623E-7 , 2.0000012113951104 , 359.0 , 811.0 , 483.0 , 1.1021139719386448E-6 , 1.0000005843972333 , 1.2113951099662519E-6 , 
444.0 , 427.0 , 2.147483647E9 , 8.304498269896194E-6 , 2.0000003476677866 , Infinity , 211.0 , 478.0 , 323.0 , 3.0000013303827817 , 6.281632077368843E-7 , 2.0000014067076104 , 359.0 , 816.0 , 483.0 , 1.3303827812885353E-6 , 1.000000628163208 , 1.406707609966252E-6 , 
444.0 , 437.0 , 2.147483647E9 , 8.996539792387544E-6 , 2.0000003815762066 , Infinity , 226.0 , 478.0 , 333.0 , 3.000001613044323 , 6.706625064984547E-7 , 2.000001628929833 , 359.0 , 821.0 , 483.0 , 1.6130443223592573E-6 , 1.0000006706625066 , 1.6289298321884741E-6 , 
444.0 , 447.0 , 2.147483647E9 , 9.688581314878895E-6 , 2.0000004163852094 , Infinity , 241.0 , 478.0 , 343.0 , 3.000001972136538 , 7.119493343488973E-7 , 2.0000018840318736 , 359.0 , 826.0 , 483.0 , 1.9721365372400386E-6 , 1.0000007119493346 , 1.8840318730048008E-6 , 
444.0 , 457.0 , 2.147483647E9 , 1.0380622837370245E-5 , 2.0000004521311556 , Infinity , 256.0 , 478.0 , 353.0 , 3.0000024434344925 , 7.520748469523207E-7 , 2.000002179889862 , 359.0 , 831.0 , 483.0 , 2.443434491806916E-6 , 1.0000007520748473 , 2.179889861170481E-6 , 
444.0 , 467.0 , 2.147483647E9 , 1.1072664359861595E-5 , 2.00000048885239 , Infinity , 271.0 , 478.0 , 363.0 , 3.0000030890956495 , 7.910873621672017E-7 , 2.000002527112084 , 359.0 , 836.0 , 483.0 , 3.0890956488317094E-6 , 1.0000007910873625 , 2.5271120833927033E-6 , 
444.0 , 477.0 , 2.147483647E9 , 1.1764705882352945E-5 , 2.0000005265893783 , Infinity , 286.0 , 478.0 , 373.0 , 3.0000040273579875 , 8.290325541319279E-7 , 2.0000029403352246 , 359.0 , 841.0 , 483.0 , 4.027357986981456E-6 , 1.0000008290325544 , 2.940335223888571E-6 , 
444.0 , 487.0 , 2.147483647E9 , 1.2456747404844295E-5 , 2.0000005653848563 , Infinity , 301.0 , 478.0 , 383.0 , 3.00000551368379 , 8.659536316366538E-7 , 2.0000034403352247 , 359.0 , 846.0 , 483.0 , 5.513683789597389E-6 , 1.000000865953632 , 3.440335223888571E-6 , 
444.0 , 497.0 , 2.147483647E9 , 1.3148788927335646E-5 , 2.0000006052839914 , Infinity , 316.0 , 478.0 , 393.0 , 3.0000082178482033 , 9.018915022459445E-7 , 2.0000040576191753 , 359.0 , 851.0 , 483.0 , 8.217848202793712E-6 , 1.0000009018915026 , 4.057619174505855E-6 , 
444.0 , 507.0 , 2.147483647E9 , 1.3840830449826996E-5 , 2.0000006463345574 , Infinity , 331.0 , 478.0 , 403.0 , 3.000014595399224 , 9.36884923482752E-7 , 2.000004838869175 , 359.0 , 856.0 , 483.0 , 1.4595399223201875E-5 , 1.0000009368849239 , 4.8388691745058554E-6 , 
444.0 , 517.0 , 2.147483647E9 , 1.4532871972318346E-5 , 2.0000006885871264 , Infinity , 346.0 , 478.0 , 413.0 , 3.0000441811980405 , 9.709706422483036E-7 , 2.0000058592773384 , 359.0 , 861.0 , 483.0 , 4.418119803976992E-5 , 1.0000009709706426 , 5.859277337771162E-6 , 
444.0 , 527.0 , 2.147483647E9 , 1.5224913494809696E-5 , 2.0000007320952755 , Infinity , 361.0 , 478.0 , 423.0 , 3.0012941811980407 , 1.0041835235321807E-6 , 2.000007248166227 , 359.0 , 866.0 , 483.0 , 0.0012941811980397698 , 1.000001004183524 , 7.248166226660051E-6 , 
444.0 , 537.0 , 2.147483647E9 , 1.5916955017301045E-5 , 2.000000776915814 , Infinity , 376.0 , 478.0 , 433.0 , 3.001311482236103 , 1.0365566693602535E-6 , 2.000009248166227 , 359.0 , 871.0 , 483.0 , 0.0013114822361020536 , 1.0000010365566696 , 9.248166226660051E-6 , 
444.0 , 547.0 , 2.147483647E9 , 1.6608996539792395E-5 , 2.0000008231090307 , Infinity , 391.0 , 478.0 , 443.0 , 3.001316365048603 , 1.0681215288334992E-6 , 2.000012373166227 , 359.0 , 876.0 , 483.0 , 0.0013163650486020535 , 1.000001068121529 , 1.2373166226660051E-5 , 
444.0 , 557.0 , 2.147483647E9 , 1.7301038062283745E-5 , 2.0000008707389654 , Infinity , 406.0 , 478.0 , 453.0 , 3.0013186285162354 , 1.098908000026598E-6 , 2.0000179287217827 , 359.0 , 881.0 , 483.0 , 0.0013186285162344663 , 1.0000010989080002 , 1.7928721782215605E-5 , 
444.0 , 567.0 , 2.147483647E9 , 1.7993079584775095E-5 , 2.0000009198737025 , Infinity , 421.0 , 478.0 , 463.0 , 3.0013199292446435 , 1.1289445244402852E-6 , 2.0000304287217827 , 359.0 , 886.0 , 483.0 , 0.0013199292446423748 , 1.0000011289445245 , 3.0428721782215607E-5 , 
